Kunde;Kundename (SAP-Nr.);;Kundenprojekt;Umgebung;Status Installation;OK;Fehler;VM konfiguriert;Funktionen;ASSM-Ticket;VM-Hostname;VM-IP-Addresse;DB-SID;Erstellt;Erstellt von;Aktualisiert;Aktualisiert von;OUC-ID
6534 Pfäfers (AMS);St. Gallische Psychiatrie-Dienste Süd (3041747);181865507;"Basisinstallation ORBIS U auf KHV; TEST & SCHUL (DEV)";4. Schulungs;Docker-Container installiert;ja;keine Fehler;;ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Assessments,ORBIS U Security,ORBIS U Textbausteine;;s-9521;10.125.202.57;DEV;2026.02;Henrik Schütz;2026.02;Henrik Schütz;92148554
6615 Dzaoudzi (NonAMS);OÖ Gesundheitsholding GmbH Pyhrn-Eisenwurzen Klinikum Steyr (2000240);46869316;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;2020.08;ORBIS Assisted Coding,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Touch ID,ORBIS U Assessment Konfigurator,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Pflegemaßnahmen,ORBIS U Wundmanagement,ORBIS User Provisioning;;varzpdor51;10.201.36.27;DRZPDOR3;2021.04;os_cmdb;2025.05;Stefan Kurztusch;92148911
6644 Linz (NonAMS);Oberösterreichische Gesundheitsholding GmbH (3060270);124232044;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Krankengeschichte,ORBIS U OP Fallwagen Schnittstelle,ORBIS U PDF Server,ORBIS U Pflegemaßnahmen,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning;;varzpdor52;10.201.36.34;DRZPDOR3;2022.10;Kristin Dölz;2025.08;Stephan Dirckmann;124212904
6644 Linz (NonAMS);Oberösterreichische Gesundheitsholding GmbH (3060270);124354665;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS CPOE,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Krankengeschichte,ORBIS U OP Fallwagen Schnittstelle,ORBIS U PDF Server,ORBIS U Patient Handout,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning;;varzporb52;10.201.103.12;DRZPORB2;2022.10;Kristin Dölz;2025.08;Stephan Dirckmann;124212904
6644 Linz (NonAMS);Oberösterreichische Gesundheitsholding GmbH (3060270);124232054;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS CPOE,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U OP Fallwagen Schnittstelle,ORBIS U PDF Server,ORBIS U Pflegemaßnahmen,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning;;varztdor51;10.201.36.28;DRZTDOR3;2022.10;Kristin Dölz;2025.08;Stephan Dirckmann;124212904
6644 Linz (NonAMS);Oberösterreichische Gesundheitsholding GmbH (3060270);143021674;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS CPOE,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Krankengeschichte,ORBIS U OP Fallwagen Schnittstelle,ORBIS U PDF Server,ORBIS U Patient Handout,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning;;varzqorb52;10.201.74.14;DRZQORB2;2024.03;Kristin Dölz;2026.01;Peter Zupancic;124212904
6644 Linz (NonAMS);Oberösterreichische Gesundheitsholding GmbH (3060270);124354652;ORBIS U Installation;4. Schulungs;Docker-Container installiert;ja;keine Fehler;;ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U OP Fallwagen Schnittstelle,ORBIS U PDF Server,ORBIS U Pflegemaßnahmen,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning;;varzeorb51;10.201.74.13;DRZEORB2;2022.10;Kristin Dölz;2025.08;Stephan Dirckmann;124212904
6644 Linz (NonAMS);Oberösterreichische Gesundheitsholding GmbH (3060270);124354634;ORBIS U Installation;5. Entwicklungs;Docker-Container installiert;ja;keine Fehler;;ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U OP Fallwagen Schnittstelle,ORBIS U PDF Server,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning;;varztorb52;10.201.74.16;DRZTORB2;2022.10;Kristin Dölz;2025.08;Stephan Dirckmann;124212904
6688 Innsbruck (NonAMS);Sanatorium Kettenbrücke der Barmherzigen Schwestern GmbH (2000392);128141560;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U PDF Server,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Zugangsmanagement;;atinns3030;10.160.25.25;RIS;2023.06;Henrik Schütz;2024.03;Adrian Schmidt;124099953
6688 Innsbruck (NonAMS);Sanatorium Kettenbrücke der Barmherzigen Schwestern GmbH (2000392);124099954;Dockererweiterung Allergies auf KIST;3. Test;Docker-Container installiert;nein;VM: Inventarisierung fehlt;;ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U PDF Server,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Wundmanagement;;atinns3020;10.160.25.21;KIST;2022.08;Alexander Führmann;2024.10;Stefan Kurztusch;124099953
